,Agent_0,Agent_0_abs_W_max
0,-5930.669112089105,6.000072250818143
1,-2133.1820286395587,6.213910137415372
2,-1853.3596952116015,6.213910137415372
3,-2761.850273380126,7.74497282171038
4,-2843.6751045310193,10.851521190378888
5,-3168.3453109101383,14.163543690093736
6,-3180.269007538024,17.862765567511563
7,-3650.0184750414737,21.747108374574143
8,-3363.1894558266413,25.55869532564704
9,-3240.389886091734,29.282854793854465
10,-3579.0601877865024,33.741259850078386
11,-3492.2382209720977,37.88512663102906
12,-3306.5461371640076,41.776532395125294
13,-3317.2942894970156,45.67128973264136
14,-3359.555391482057,49.237112983360454
15,-3270.1239511327854,56.377997571145876
16,-3569.1685901956257,59.51446546212669
17,-3419.704739861868,61.53778974721416
18,-3179.404450922736,66.71379834316053
19,-3228.4846573384357,70.50563764869193
20,-3512.101351268588,73.28418674723548
21,-3402.6275931759765,78.07852842624477
22,-3553.378708353813,83.4998753909363
23,-3559.05803495496,90.76282923424311
24,-1435.4904389863498,89.68916370985755
25,-1731.5660169148637,91.65266059198515
26,-2150.148903176837,95.52789544426406
27,-1947.2852233161486,96.44419022499139
28,-1946.4192696491941,98.38898666208249
29,-1698.3247277873197,101.61318260862072
30,-1791.0017010816493,104.31870583660037
31,-1954.4791491955905,106.52472016686693
32,-2183.6036273086465,109.4970233923733
33,-1704.814206258078,111.09222438969054
34,-3559.1926441242913,116.26190230108936
35,-3670.459410806855,120.70560467546014
36,-3551.8455252680374,124.99886058786885
37,-3516.186420255869,130.5296697870599
38,-3200.5188089965195,135.90114009407205
39,-3375.7021245556043,139.98754274296303
40,-3571.821738654755,145.9635772613946
41,-3666.612404987205,152.95109548902596
42,-3643.2679191635484,156.5678299675907
43,-3276.285317300879,163.29752035629102
44,-2416.1169059953418,165.88854677156917
45,-3502.593902944741,172.67279350826192
46,-3520.754091082853,178.35519688177948
47,-3598.416705759399,183.79564035984208
48,-3610.746367315506,189.9482572737143
49,-3252.853663548205,195.73716794463914
50,-3369.9464742323757,198.97766668972042
51,-3280.9554697711937,209.50255385122978
52,-3516.1357387906123,214.93185156720915
53,-3162.119554875706,225.62766528627736
54,-2987.694876907625,228.44035174868569
55,-3366.853015187437,232.10667124490874
56,-3619.484802500885,239.53948103685457
57,-3345.335297166628,243.2454541265407
58,-3567.4481156916063,247.9078204719633
59,-3671.5345635592007,254.7438297853534
60,-3300.527712705406,261.21226860013695
61,-3343.0022323366857,261.8495005090742
62,-3419.5766671467372,267.489409085825
63,-3144.88131731618,277.54224437217033
64,-3168.083558805763,283.07601394323075
65,-3429.8859868747027,286.18192511926844
66,-3386.6505243902684,290.5758978674242
67,-3132.919562504073,295.1602653809361
68,-3543.852411908852,304.04222706781474
69,-3526.689099902802,310.4942951745151
70,-3310.137943954258,319.4890105151575
71,-3617.5943432236213,323.97561537638103
72,-3509.0967669687616,330.4493236908014
73,-3658.539294576176,334.3361990638403
74,-3589.8925927432474,342.2225361745389
75,-3637.6764739622977,349.1077278078687
76,-2626.495467850305,354.2591833289443
77,-2422.0116191809097,358.63514706330443
78,-3559.3816389198173,366.38469516132477
79,-3664.782951985332,376.2348940223891
80,-3633.8018402294383,383.0958293953792
81,-3683.427836729449,387.73631694493815
82,-3541.4287022811395,395.7068975796046
83,-2527.846660756073,404.4142123245284
84,-2071.790862230603,411.64056136084116
85,-1283.3696139611397,419.17497754709876
86,-1004.6239036043596,423.01803598508246
87,-1239.623262074341,427.3538632004013
88,-594.8259829127803,430.0414627482946
89,-811.4047614406155,434.5523205293578
90,-3619.1366213939,442.70420797145067
91,-669.1010122437738,444.8449844299812
92,-890.5285309555397,449.8585742343136
93,-3528.423195893723,461.48352381496284
94,-3697.527725054787,465.7635528688907
95,-3527.58026133769,475.5037307143193
96,-3543.4535208043835,484.01720300899285
97,-3634.7198142754714,491.127656307705
98,-3648.537149797345,498.47535738570946
99,-3728.0661457807846,502.3282086350182
100,-3700.8444931858967,508.73219181170964
101,-3552.674924343837,519.4764046991316
102,-3613.033599941984,527.1942504142902
103,-916.5759390611508,528.2138943768613
104,-919.4191200914315,533.1210027087353
105,-1079.7490136264373,546.1455899744886
106,-874.6998717220044,544.4687116542186
107,-1082.965576821667,552.1682405752332
108,-3715.921231439569,560.5927668774614
109,-3584.777229921413,571.5053161951755
110,-3526.4284372805305,582.6857261281102
111,-3701.8429010371397,588.537652013786
112,-3714.116369519032,594.0046487370935
113,-3583.4941345603784,597.6824583014768
114,-3487.569657537578,608.34726382633
115,-3654.10435753405,621.002494430723
116,-3704.9572663483614,626.0595308458551
117,-3518.629047315462,643.3804755178634
118,-3468.135093669539,646.1240329619592
119,-3693.208697257774,658.4320464920248
120,-3703.319110084679,666.7506340527058
121,-3585.055014593171,678.5278580152839
122,-3687.2796991084124,685.1063410583117
123,-3657.2909736740303,694.4177537743468
124,-3712.4765018739563,695.0319848865686
125,-1411.2106159522134,700.6675206209843
126,-1440.061023933361,708.3981651003635
127,-1515.5258463789678,712.9543215111046
128,-1720.9097711747136,717.0009947560501
129,-1656.3749002515988,721.6958234732806
130,-1665.2782079858607,726.3734093743218
131,-1035.4651394679604,732.2830887458111
132,-1518.028032051945,747.0698196618125
133,-1558.4266355884938,746.50508617451
134,-1416.8243792710828,749.5074449367199
135,-1314.9379875664367,750.4028819344345
136,-1730.0107985242269,758.4328322673857
137,-1606.2655562353245,763.6629023300884
138,-3657.617931038221,767.0968530383757
139,-570.5032099437746,779.371699004065
140,-1411.0594736151995,789.3746592916814
141,-3680.3765619246533,805.2886847362646
142,-3558.311023276977,809.6799639970657
143,-3777.8692349639387,818.5169109685553
144,-3286.660062751149,824.1746114223735
145,-3559.3827945036583,857.1665978012767
146,-3587.08266890943,859.6094882851328
147,-3537.300777630567,867.8608504449713
148,-3574.217192624818,877.6525724146774
149,-3703.7464302647068,883.6367208363488
150,-3501.8610378040885,899.1016121380051
151,-3723.110906545485,907.4275737929185
152,-3630.425707581923,916.229379157094
153,-3610.443936695069,928.9519855938211
154,-3675.816804975888,935.4288135901302
155,-3315.228926068986,952.3359970400534
156,-3419.0854751275465,959.2367626233164
157,-3640.408276838124,970.5174686067738
158,-3574.4655111891716,982.3294980653299
159,-3613.576043963927,993.65100399804
160,-3599.6280117565293,1001.6395206952162
161,-3486.9269935888988,1012.1984022566838
162,-3593.814890459117,1031.1055048060034
163,-3499.568107980648,1040.9247292594032
164,-2586.9050292653214,1047.9962089066007
165,-3654.3958311450233,1053.683019236036
166,-3699.22330386641,1062.4483851831799
167,-3604.3886143977493,1073.9897439042122
168,-3734.680124587967,1077.549734029587
169,-3722.0841727549746,1088.819422882132
170,-3705.1603833295776,1097.0021002890662
171,-3485.8185094308287,1112.0397201884266
172,-3511.9767310723564,1135.6107897323216
173,-3543.1457841342503,1142.8155456533527
174,-3680.547315014178,1157.187104182965
175,-3501.558792300395,1173.4398439511901
176,-3500.2778797522415,1183.7744586077954
177,-3646.4581331400286,1197.9592357823358
178,-3662.0901243449116,1206.4038085388286
179,-3582.5249597252377,1211.6054055201932
180,-3691.519902738789,1227.756456513463
181,-2405.513628861113,1225.9483630350032
182,-2245.066769181777,1235.7362368894203
183,-2441.469724051127,1242.0068279973307
184,-2454.6782540786726,1244.4527365304905
185,-2499.882689168084,1256.1569550683
186,-2398.2976698881926,1265.5237061964326
187,-3686.9094386654906,1271.3949339762146
188,-3534.11079631341,1292.3785234772095
189,-3502.609252931526,1303.004838684897
190,-3517.049616940557,1327.0331112355752
