,agent1,agent2,S,A,B,P
82,1.2809750559268962,1.280975055926896,0.7006668476772455,0.0,0.0,66.96819881337457
83,1.2829281360243106,1.2829281360243103,0.5271653140752289,0.0,0.0,67.07943539099696
84,1.2843813148734502,1.28438131487345,0.39532329231530794,0.0,0.0,67.16234417501325
85,1.28544784680691,1.2854478468069097,0.29570292124049036,0.0,0.0,67.22334291094275
86,1.2862182761979033,1.286218276197903,0.22075883630885682,0.0,0.0,67.26756244660652
87,1.2867636802317846,1.2867636802317843,0.16456793863347863,0.0,0.0,67.29903048918024
88,1.2871390802345726,1.2871390802345724,0.12254511760535655,0.0,0.0,67.32086491381062
89,1.2873866191928698,1.2873866191928696,0.0911784575668727,0.0,0.0,67.33545382307742
90,1.2875383186581093,1.287538318658109,0.06779949579122396,0.0,0.0,67.34461177156743
91,1.2876183636805518,1.2876183636805516,0.050392811315947715,0.0,0.0,67.34970924546775
92,1.287644938553704,1.2876449385537039,0.037443046241457514,0.0,0.0,67.3517766880827
93,1.2876316698716421,1.287631669871642,0.027814650954054658,0.0,0.0,67.35158627308218
94,1.2875887433898747,1.2875887433898745,0.020658812387312837,0.0,0.0,67.34971519328398
95,1.287523758770793,1.2875237587707928,0.015342225234626406,0.0,0.0,67.34659409622924
96,1.2874423784061175,1.2874423784061173,0.011393023411977711,0.0,0.0,67.3425438507877
97,1.2873488169931206,1.2873488169931204,0.008459982039332311,0.0,0.0,67.33780328981044
98,1.2872462093345176,1.2872462093345174,0.006281867449763766,0.0,0.0,67.33255005212358
99,1.2871368857639922,1.287136885763992,0.004664485062348103,0.0,0.0,67.32691618997482
100,1.2870225779094904,1.2870225779094902,0.0034635324409642357,0.0,0.0,67.32099982895339
101,1.2869045721459986,1.2869045721459984,0.00257181156278076,0.0,0.0,67.31487386364745
102,1.286783823890033,1.2867838238900329,0.0019097042775439062,0.0,0.0,67.30859243433186
103,1.286661042648329,1.2866610426483287,0.001418084916709695,0.0,0.0,67.3021957463939
104,1.2865367552606766,1.2865367552606763,0.0010530500571851052,0.0,0.0,67.29571365409397
105,1.2864113529042094,1.2864113529042092,0.000782001497280291,0.0,0.0,67.2891683241419
106,1.2862851260159716,1.2862851260159713,0.0005807360427493797,0.0,0.0,67.28257621464246
107,1.2861582902324362,1.286158290232436,0.000431283880285723,0.0,0.0,67.27594954500142
