,EX_A_sp1,EX_B_sp1,EX_A_sp2,EX_B_sp2
106,-0.97755426,-0.34998918,-0.5723575,-0.83588624
107,-0.9761503,-0.3548991,-0.5756362,-0.85627687
108,-0.9762026,-0.34522846,-0.5821123,-0.8473701
109,-0.9761382,-0.35578838,-0.57584536,-0.843054
110,-0.97477907,-0.35899624,-0.5906872,-0.8449135
111,-0.9713481,-0.34313554,-0.5888263,-0.85377574
112,-0.9708462,-0.35765833,-0.59641075,-0.8554338
113,-1.0005302,-0.3490446,-0.58639723,-0.83570033
114,-0.97001886,-0.3392249,-0.57630736,-0.8495459
115,-0.9640457,-0.34169543,-0.58610886,-0.848694
116,-0.98427856,-0.35397574,-0.57359844,-0.8584885
117,-0.97989637,-0.33604273,-0.59441614,-0.8400835
118,-0.99280846,-0.35537156,-0.5786445,-0.8512076
119,-0.9663009,-0.35765672,-0.5868474,-0.8327834
120,-0.964737,-0.3625718,-0.5935354,-0.839013
121,-0.9863271,-0.3593983,-0.586237,-0.8427148
122,-0.97860885,-0.34179693,-0.5788567,-0.85554224
123,-0.995573,-0.332436,-0.5785235,-0.8500827
124,-0.9797539,-0.35314637,-0.5996802,-0.85608035
125,-0.9786083,-0.3255776,-0.57227355,-0.8545481
126,-0.9766771,-0.35395527,-0.5829674,-0.83988476
127,-0.9801366,-0.3635089,-0.5832498,-0.84336114
128,-0.9638137,-0.35305077,-0.60486835,-0.8299199
129,-0.95961875,-0.3459524,-0.5875367,-0.8413598
130,-0.98459053,-0.34046555,-0.59453017,-0.8457109
131,-0.9755452,-0.36531383,-0.59556234,-0.86133164
132,-0.9762682,-0.35242075,-0.5687454,-0.83984625
133,-0.9837591,-0.34878808,-0.5950455,-0.8452412
134,-0.9783078,-0.34072575,-0.59986997,-0.84852546
135,-0.98621494,-0.34133992,-0.5765996,-0.8336861
136,-0.98897594,-0.34483,-0.5985899,-0.8321245
137,-0.97335374,-0.34692347,-0.580377,-0.8343179
138,-0.9904405,-0.36341983,-0.58507854,-0.8369537
139,-0.9646901,-0.3604966,-0.5844949,-0.8392639
140,-0.95257974,-0.3452167,-0.5802927,-0.83637893
141,-0.9812023,-0.35243866,-0.585167,-0.84168774
142,-0.9861011,-0.350319,-0.5865058,-0.8318148
143,-0.9648236,-0.3560745,-0.5873632,-0.8397828
144,-0.9661156,-0.36001796,-0.57690984,-0.8402474
145,-0.9832528,-0.35465953,-0.58213955,-0.8304892
146,-0.9894808,-0.34011364,-0.58270055,-0.8385411
147,-0.9786401,-0.34631315,-0.59517866,-0.84205127
148,-0.96492463,-0.3439958,-0.5764721,-0.85075426
149,-0.9567981,-0.33927578,-0.5940724,-0.84973973
150,-0.9918215,-0.36623698,-0.5746086,-0.83177054
151,-0.9804716,-0.35649925,-0.5886993,-0.8379571
152,-0.96823674,-0.34073552,-0.589919,-0.8436113
153,-0.9712822,-0.35780847,-0.5984255,-0.8738937
154,-0.9771079,-0.3625804,-0.590946,-0.866523
155,-0.9760338,-0.3540083,-0.5843297,-0.831517
156,-0.9694027,-0.36276606,-0.5895568,-0.8420537
157,-0.9739782,-0.34589437,-0.5906154,-0.84440595
158,-0.9768113,-0.34566665,-0.59881616,-0.8342588
159,-0.9808324,-0.35022697,-0.5920902,-0.8424484
160,-0.9693272,-0.35146958,-0.59397846,-0.8332248
161,-0.97547483,-0.34039629,-0.6010119,-0.830072
162,-0.97082245,-0.34892115,-0.58643913,-0.8598174
163,-0.9724247,-0.3415768,-0.5911207,-0.85298383
164,-0.98561704,-0.34407914,-0.5700938,-0.8482476
165,-0.98188907,-0.36306858,-0.59139013,-0.8383264
166,-0.9962412,-0.35739812,-0.5778198,-0.8421653
167,-0.99739844,-0.32537183,-0.58289045,-0.8257246
168,-0.9730172,-0.35514846,-0.5953178,-0.8532302
169,-0.99582314,-0.36456484,-0.5901406,-0.8340524
170,-0.98458374,-0.35027584,-0.5819645,-0.8543918
171,-0.98779297,-0.36754635,-0.5984633,-0.8480386
172,-0.97937864,-0.3470106,-0.59614325,-0.8445803
173,-0.98945844,-0.3465437,-0.5987149,-0.8274448
174,-0.99272525,-0.35869694,-0.5955529,-0.82850635
175,-0.9540632,-0.3480614,-0.5888003,-0.84894574
176,-0.97172135,-0.33524075,-0.58367443,-0.8521584
177,-0.9818587,-0.33969074,-0.5890005,-0.82984895
178,-0.97933096,-0.3435227,-0.59546006,-0.84847695
179,-0.97795105,-0.35472876,-0.58975124,-0.8454882
180,-0.9695772,-0.34832683,-0.5847687,-0.84846926
181,-0.963822,-0.3482227,-0.58715504,-0.8222164
182,-0.96921253,-0.36731988,-0.55943763,-0.86290187
183,-0.970664,-0.3532506,-0.5927753,-0.84898263
184,-0.9889022,-0.35155067,-0.57785034,-0.8397492
185,-0.9731134,-0.35249814,-0.5847919,-0.8476481
186,-0.96359545,-0.36256257,-0.5817169,-0.8727279
187,-0.9715091,-0.361654,-0.57260364,-0.84381026
188,-0.9910853,-0.34207553,-0.60226554,-0.83574086
189,-0.97627586,-0.34434342,-0.60126466,-0.8503793
190,-0.9753285,-0.33891267,-0.60065114,-0.83907026
191,-0.96856153,-0.34835994,-0.5857842,-0.8492718
192,-0.97381914,-0.34744498,-0.592343,-0.8414053
193,-0.9917621,-0.3442603,-0.5869146,-0.8396271
194,-0.9953477,-0.3459572,-0.5790213,-0.85312325
195,-0.9851338,-0.3627606,-0.58976847,-0.8510385
196,-0.9687308,-0.34196678,-0.6042963,-0.8409991
197,-0.99542135,-0.3602761,-0.5976578,-0.8289853
198,-0.9875016,-0.34278122,-0.5898233,-0.83724356
199,-0.9867205,-0.32906094,-0.5936605,-0.8460862
200,-0.9774735,-0.34668255,-0.57930475,-0.86491716
201,-0.9852232,-0.35054922,-0.5827343,-0.84074
202,-0.97653544,-0.34415632,-0.5849448,-0.8364544
203,-0.97646534,-0.37210983,-0.5871953,-0.84648275
204,-0.99473315,-0.3374394,-0.5882638,-0.85390383
205,-0.96572447,-0.352825,-0.6044258,-0.8561535
206,-0.98127574,-0.3500043,-0.5746781,-0.83843523
207,-0.98855495,-0.34416717,-0.57624084,-0.85257614
208,-0.97524893,-0.35823342,-0.5743784,-0.83594394
209,-0.9798459,-0.3786932,-0.5700363,-0.8351839
210,-0.964177,-0.34846961,-0.5840734,-0.84301287
211,-0.9881607,-0.3522805,-0.5824516,-0.8570216
212,-0.98710245,-0.3479583,-0.59273386,-0.8534169
213,-0.97598284,-0.34669936,-0.58061063,-0.83957803
214,-0.9798519,-0.34964642,-0.61358535,-0.83681715
215,-0.9795961,-0.34413108,-0.5959406,-0.8405915
216,-0.95839584,-0.33678228,-0.5777068,-0.84540385
217,-0.97248685,-0.3503594,-0.57355917,-0.8439964
218,-0.9742566,-0.35016683,-0.6071691,-0.8454712
219,-0.9674595,-0.34293333,-0.55414104,-0.847469
220,-0.9802604,-0.33457583,-0.5825739,-0.8401951
221,-0.98370636,-0.3537875,-0.57558185,-0.859494
222,-0.961485,-0.3490555,-0.5890907,-0.84750265
223,-0.9823506,-0.3454569,-0.57471424,-0.8456392
224,-0.9775181,-0.36031863,-0.5730528,-0.8402363
225,-0.972857,-0.32989967,-0.5811738,-0.85799015
226,-0.98711413,-0.35598624,-0.5731461,-0.8486842
227,-0.97710556,-0.35492438,-0.5929625,-0.83392847
228,-0.97600687,-0.35064882,-0.5876648,-0.8441778
229,-0.97618556,-0.35604593,-0.5969681,-0.84624106
230,-0.9697585,-0.33375418,-0.58443457,-0.8599256
231,-0.96879154,-0.37175348,-0.59123284,-0.84965914
232,-0.9720969,-0.3477059,-0.58236486,-0.84589356
233,-0.99683946,-0.34414682,-0.5936424,-0.8513198
234,-0.984738,-0.3501323,-0.5946757,-0.8679926
235,-0.97150105,-0.34917367,-0.58445984,-0.827386
236,-0.9660804,-0.35807937,-0.5794856,-0.8215505
237,-0.9873143,-0.33646935,-0.60438573,-0.8516535
238,-0.95442086,-0.3635274,-0.5987674,-0.8431116
239,-0.9778355,-0.34217146,-0.57407844,-0.8405679
240,-0.978184,-0.34273604,-0.57667196,-0.8337595
241,-0.97673017,-0.35727328,-0.5942416,-0.86126405
242,-0.9868435,-0.35051867,-0.5907998,-0.85205346
243,-0.9756559,-0.34813938,-0.58984286,-0.8446456
244,-0.98773026,-0.3365895,-0.57853234,-0.8456794
245,-0.9801758,-0.34044445,-0.59334886,-0.84792316
246,-0.9730719,-0.3296901,-0.5723908,-0.85454875
247,-0.98153996,-0.35028177,-0.57498777,-0.8359364
248,-0.99073803,-0.32452682,-0.57539797,-0.8429343
249,-0.9842544,-0.3551278,-0.58868676,-0.8428181
250,-0.9654154,-0.3472993,-0.5910112,-0.8458922
251,-0.98331684,-0.34760755,-0.5808208,-0.8553483
252,-0.9620443,-0.32766715,-0.5852261,-0.83696866
253,-0.9844839,-0.3407051,-0.58570296,-0.83422226
254,-0.970191,-0.34727046,-0.6064937,-0.8315686
255,-0.9685289,-0.33036485,-0.5983657,-0.82927823
256,-0.9913425,-0.3504069,-0.57496554,-0.85448074
257,-0.95901054,-0.32709843,-0.581802,-0.8293993
258,-0.97238725,-0.383334,-0.5943753,-0.84765005
259,-0.983103,-0.36288294,-0.5958846,-0.84711665
260,-0.97606367,-0.35425407,-0.5868079,-0.84054166
261,-0.9646982,-0.3563016,-0.5911186,-0.8605585
262,-0.9887931,-0.3593457,-0.59137356,-0.8302501
263,-0.9667567,-0.36173108,-0.6008059,-0.8474429
264,-0.9906746,-0.3262723,-0.5923759,-0.86169815
265,-0.9782535,-0.34206086,-0.5920585,-0.83389467
266,-0.9624179,-0.34274733,-0.5883707,-0.8614452
267,-0.98025215,-0.3547805,-0.58711326,-0.83381486
268,-0.98702186,-0.33412758,-0.57609284,-0.8594907
269,-0.9753617,-0.34171098,-0.5878776,-0.8456894
270,-0.96002346,-0.34798285,-0.585415,-0.8308998
271,-0.97750384,-0.3534207,-0.5845944,-0.8379409
272,-0.9677456,-0.36117047,-0.5899879,-0.8410502
273,-0.9715819,-0.33993727,-0.5759568,-0.8540384
274,-0.9775861,-0.33989444,-0.5938138,-0.8443753
275,-0.983643,-0.33819285,-0.58240235,-0.8543322
276,-0.9747586,-0.3401229,-0.58621,-0.8471965
277,-0.9910082,-0.33381,-0.58487445,-0.862279
278,-0.97010237,-0.36298707,-0.590801,-0.8542385
279,-0.9953466,-0.3440943,-0.5858936,-0.82669467
280,-0.97345847,-0.35970485,-0.5782064,-0.86530757
281,-0.9910423,-0.3502178,-0.5932959,-0.83529496
282,-0.96327186,-0.36088398,-0.5842254,-0.84149617
