,EX_A_sp1,EX_B_sp1,EX_A_sp2,EX_B_sp2
114,-1.4013219,0.5773957,0.45879266,-1.3832486
115,-1.393714,0.5826657,0.4534324,-1.3862934
116,-1.391052,0.59045833,0.4568511,-1.3768375
117,-1.3930247,0.5773465,0.47456872,-1.3792437
118,-1.3889487,0.5720176,0.47265843,-1.3660017
119,-1.3764031,0.5912605,0.46433985,-1.3730235
120,-1.3840005,0.57379025,0.4567303,-1.3882433
121,-1.3939661,0.58155787,0.45229882,-1.3811613
122,-1.4044617,0.5769056,0.4704562,-1.3757936
123,-1.3750417,0.5760062,0.45419666,-1.3771707
124,-1.3872193,0.5784761,0.44478083,-1.4019567
125,-1.3863142,0.57715255,0.48222104,-1.3752856
126,-1.3876587,0.587311,0.4534239,-1.3833057
127,-1.3880776,0.5806005,0.4765317,-1.3769027
128,-1.3915199,0.58391154,0.45265236,-1.379729
129,-1.3761437,0.5757207,0.44579273,-1.3584329
130,-1.3589609,0.58532363,0.4650024,-1.3869556
131,-1.3564899,0.56292516,0.46428517,-1.3848025
132,-1.3777053,0.5786065,0.4607848,-1.3800766
133,-1.3938729,0.58255184,0.46530187,-1.3908694
134,-1.4018068,0.57252914,0.4546401,-1.3919786
135,-1.3888229,0.5726503,0.4558536,-1.3703192
136,-1.3752185,0.56332004,0.46270669,-1.3864095
137,-1.3811587,0.56333584,0.48089102,-1.3995678
138,-1.3831445,0.5883581,0.46440285,-1.3620065
139,-1.376138,0.5824756,0.4734576,-1.3844827
140,-1.3831822,0.5817376,0.4697177,-1.3788812
141,-1.3755984,0.5721646,0.45244148,-1.3827713
142,-1.3807801,0.57838815,0.48374194,-1.3903475
143,-1.3944073,0.5715216,0.46439627,-1.3844789
144,-1.3876675,0.56634635,0.44787535,-1.3745143
145,-1.3979388,0.5810092,0.45252162,-1.3764873
146,-1.3815322,0.57933646,0.47871837,-1.3657075
147,-1.389753,0.5827243,0.46044385,-1.3628415
148,-1.3669474,0.57175785,0.47118643,-1.3769125
149,-1.3822174,0.56732374,0.45253834,-1.3681276
150,-1.3951912,0.56864536,0.4590368,-1.364024
151,-1.4064628,0.5807547,0.44614354,-1.3791519
152,-1.3839165,0.55277693,0.4758082,-1.3615241
153,-1.3914739,0.5813122,0.45611244,-1.3743699
154,-1.3692803,0.5611957,0.45920467,-1.3850428
155,-1.3933511,0.5737995,0.45771125,-1.3812803
156,-1.3864232,0.56900746,0.46013257,-1.3782884
157,-1.3969588,0.5715051,0.45330864,-1.3790872
158,-1.3662561,0.57613444,0.44799665,-1.3658903
159,-1.376139,0.5682027,0.44843155,-1.3911561
160,-1.3816926,0.571375,0.45539418,-1.3786994
161,-1.4020724,0.5802155,0.46586737,-1.3755447
162,-1.3930937,0.5877296,0.4698045,-1.3927131
163,-1.3800695,0.583769,0.44791692,-1.3898884
164,-1.3871218,0.58340967,0.4395216,-1.3863335
165,-1.3890513,0.58367157,0.4584472,-1.3951073
166,-1.3853602,0.5685032,0.44464,-1.3799644
167,-1.3946073,0.583789,0.4517594,-1.3693911
168,-1.391824,0.5922673,0.46153265,-1.3892928
169,-1.3861125,0.5799966,0.47050726,-1.3659883
170,-1.3683555,0.5767087,0.4565823,-1.3829993
171,-1.3888915,0.59318835,0.47703788,-1.3655201
172,-1.3749566,0.58029675,0.47064137,-1.3807219
173,-1.3652848,0.56474614,0.4468261,-1.3785883
174,-1.383473,0.573812,0.466316,-1.3854434
175,-1.398553,0.5666363,0.45352092,-1.369958
176,-1.3787215,0.5939194,0.45660883,-1.3657501
177,-1.3820143,0.57898223,0.4695899,-1.3995247
178,-1.3843976,0.5828236,0.4551904,-1.3914101
179,-1.3873676,0.57721806,0.44696945,-1.3775462
180,-1.3848593,0.5678381,0.45337674,-1.3961387
181,-1.3789454,0.58253163,0.45091003,-1.3878363
182,-1.3837502,0.5749204,0.46047005,-1.3776258
183,-1.3897556,0.5655542,0.45042923,-1.3835043
184,-1.3939171,0.561301,0.45952216,-1.3935355
185,-1.3588419,0.57435143,0.45484906,-1.3716631
186,-1.3922304,0.5722147,0.4656046,-1.4047039
187,-1.3913169,0.56933296,0.45559582,-1.38733
188,-1.3864508,0.57428396,0.46149492,-1.3667669
189,-1.393541,0.5585663,0.4736034,-1.3698504
190,-1.3753511,0.6045172,0.46320003,-1.3734982
191,-1.3897616,0.553919,0.43501696,-1.3742527
192,-1.373696,0.5637339,0.44401315,-1.3642069
193,-1.3671457,0.5850721,0.44848633,-1.3785896
194,-1.3843361,0.57840383,0.46029058,-1.3708532
195,-1.3836877,0.5841162,0.46591446,-1.3510386
196,-1.3875058,0.5628918,0.4722276,-1.3707294
197,-1.3890468,0.5752022,0.45458597,-1.3746934
198,-1.3846246,0.5765211,0.46930185,-1.3858063
199,-1.3709807,0.5821651,0.45345628,-1.375951
200,-1.3912961,0.5804398,0.45703825,-1.3707047
201,-1.3768842,0.5773477,0.461703,-1.3738537
202,-1.3923627,0.5615529,0.45719168,-1.3708377
203,-1.3890301,0.5788971,0.4598079,-1.3690326
204,-1.3766332,0.57925475,0.45899343,-1.3902258
205,-1.3853664,0.5682261,0.4693998,-1.3884732
206,-1.3827859,0.5670302,0.47088268,-1.3802059
207,-1.3625441,0.5800013,0.45562655,-1.3738952
208,-1.3674513,0.5649736,0.45214105,-1.3886714
209,-1.3853284,0.5881714,0.44455528,-1.3697022
210,-1.3699218,0.5849985,0.47103107,-1.3781955
211,-1.3783544,0.60316616,0.46134582,-1.3960484
