,agent1,agent2,S,A,B,P
666,1.6399449127850672,1.8350645852887655,0.0729361642411228,0.9373510750414339,0.9804067072348951,70.92512676541016
667,1.6397809182937886,1.8348810788302365,0.07292887062469869,0.9372573399339298,0.9803086665641716,70.91803425273362
668,1.6396169402019591,1.8346975907223535,0.07292157773763622,0.9371636141999364,0.9802106356975152,70.91094244930835
669,1.639452978507939,1.8345141209632814,0.07291428557986246,0.9370698978385165,0.9801126146339455,70.90385135506342
670,1.6392890332100882,1.834330669551185,0.07290699415130447,0.9369761908487326,0.9800146033724821,70.89676096992791
671,1.6391251043067672,1.83414723648423,0.07289970345188934,0.9368824932296478,0.9799166019121449,70.88967129383092
672,1.6389611917963365,1.8339638217605816,0.07289241348154415,0.9367888049803248,0.9798186102519537,70.88258232670154
673,1.6387972956771568,1.8337804253784056,0.072885124240196,0.9366951260998267,0.9797206283909285,70.87549406846887
674,1.638633415947589,1.8335970473358678,0.07287783572777198,0.9366014565872167,0.9796226563280894,70.86840651906202
675,1.6384695526059943,1.8334136876311342,0.07287054794419921,0.936507796441558,0.9795246940624566,70.86131967841011
676,1.6383057056507337,1.8332303462623711,0.0728632608894048,0.9364141456619138,0.9794267415930503,70.85423354644227
677,1.6381418750801686,1.833047023227745,0.07285597456331586,0.9363205042473477,0.979328798918891,70.84714812308763
678,1.6379780608926606,1.8328637185254222,0.07284868896585953,0.9362268721969229,0.9792308660389991,70.84006340827533
679,1.6378142630865713,1.8326804321535697,0.07284140409696294,0.9361332495097032,0.9791329429523952,70.8329794019345
680,1.6376504816602626,1.8324971641103542,0.07283411995655324,0.9360396361847523,0.9790350296581,70.8258961039943
681,1.6374867166120965,1.8323139143939433,0.07282683654455759,0.9359460322211338,0.9789371261551342,70.81881351438389
682,1.6373229679404353,1.832130683002504,0.07281955386090314,0.9358524376179117,0.9788392324425187,70.81173163303245
683,1.6371592356436413,1.8319474699342038,0.07281227190551705,0.9357588523741499,0.9787413485192744,70.80465045986915
684,1.636995519720077,1.8317642751872103,0.07280499067832649,0.9356652764889125,0.9786434743844225,70.79756999482316
