,agent1,agent2,S,A,B,P
555,0.006744799148935903,0.006160741205661769,15.525083950524161,0.006331642640194775,1.508019090993229e-07,0.013577895442419866
556,0.006712142456749261,0.00612993749963346,15.497430069273292,0.006289311391413422,1.504680973235994e-07,0.013534909644862356
557,0.006679636781543029,0.006099287812135292,15.46991478453507,0.006247314463681204,1.5013448025844792e-07,0.013491852558659492
558,0.006647281516650098,0.006068791373074616,15.442537399369126,0.006205648701214953,1.4980106058806396e-07,0.013448728003335712
559,0.0066150760565297185,0.006038447416209243,15.41529722037064,0.006164310983080168,1.4946784098334784e-07,0.013405539734821741
560,0.006583019796788002,0.006008255179128197,15.388193557651975,0.006123298222755444,1.4913482410190385e-07,0.01336229144638233
561,0.006551112134197939,0.005978213903232556,15.361225724824402,0.006082607367702898,1.4880201258803997e-07,0.013318986769530446
562,0.006519352466718939,0.0059483228337163935,15.334393038979925,0.006042235398944487,1.484694090727681e-07,0.013275629274928128
563,0.006487740193515905,0.005918581219547811,15.307694820673218,0.00600217933064415,1.4813701617380478e-07,0.013232222473274229
564,0.006456274714977851,0.005888988313450073,15.281130393903647,0.005962436209695677,1.478048364955724e-07,0.013188769816179212
565,0.00642495543273606,0.005859543371882822,15.254699086097402,0.005923003115316218,1.4747287262920095e-07,0.013145274697027219
566,0.006393781749681807,0.005830245655023408,15.228400228089727,0.005883877158645357,1.4714112715253016e-07,0.013101740451825586
567,0.006362753069983644,0.005801094426748291,15.202233154107242,0.005845055482349668,1.468096026301122e-07,0.01305817036004202
568,0.006331868799104252,0.00577208895461455,15.176197201750368,0.005806535260232659,1.4647830161321475e-07,0.013014567645429586
569,0.0063011283438168765,0.005743228509841477,15.150291711975846,0.005768313696850046,1.4614722663982467e-07,0.01297093547683973
570,0.006270531112221345,0.005714512367292269,15.124516029079357,0.005730388027130263,1.4581638023465196e-07,0.012927276969023488
571,0.0062400765137596865,0.005685939805455808,15.09886950067823,0.005692755516000131,1.454857649091342e-07,0.01288359518342106
572,0.0062097639592313385,0.005657510106428529,15.073351477694253,0.005655413458015626,1.451553831614415e-07,0.012839893128939954
573,0.006179592860807972,0.005629222555896387,15.047961314336568,0.0056183591769976456,1.4482523747648186e-07,0.01279617376272182
574,0.006149562632047925,0.005601076443116905,15.022698368084676,0.005581590025672729,1.4449533032590678e-07,0.012752439990898206
575,0.006119672687910259,0.00557307106090132,14.997561999671515,0.005545103385318633,1.4416566416811758e-07,0.012708694669335342
576,0.00608992244476844,0.005545205705596814,14.97255157306665,0.005508896665414714,1.4383624144827188e-07,0.01266494060436816
577,0.0060603113204236595,0.0055174796770688294,14.94766645545954,0.005472967303297026,1.4350706459829054e-07,0.012621180553523691
578,0.006030838734117787,0.005489892278683486,14.922906017242909,0.005437312763818084,1.431781360368651e-07,0.012577417226234011
579,0.0060015041065459756,0.005462442817290069,14.898269631996191,0.005401930539011212,1.428494581694655e-07,0.012533653284538863
