,Reward,Agent,Step
0,0.37986929877085435,1,0
1,0.26990413021337833,1,1
2,0.33923201046443185,1,2
3,0.3384415284076633,1,3
4,0.3848360773180311,1,4
5,0.36687838496248143,1,5
6,0.3691114748579517,1,6
7,0.3847829374197023,1,7
8,0.3236204111441136,1,8
9,0.34562301642916576,1,9
10,0.42243091276452693,1,10
11,0.37587576582279525,1,11
12,0.33159923127877483,1,12
13,0.40407990466401283,1,13
14,0.40112855696040983,1,14
15,0.4104461762729544,1,15
16,0.4059703350437702,1,16
17,0.38897945398514155,1,17
18,0.41298369183190636,1,18
19,0.4154146202440119,1,19
20,0.40007865479577176,2,0
21,0.32122285940787965,2,1
22,0.39099565246547635,2,2
23,0.34481012960696567,2,3
24,0.35203785388093833,2,4
25,0.3874028821126075,2,5
26,0.3634103327144938,2,6
27,0.405607798390754,2,7
28,0.4052476374873303,2,8
29,0.38455184680127985,2,9
30,0.32198658680660996,2,10
31,0.376513253240617,2,11
32,0.3793077432043376,2,12
33,0.41954038807288996,2,13
34,0.3669772619564129,2,14
35,0.3804058427575032,2,15
36,0.4005879983166235,2,16
37,0.40398724152897003,2,17
38,0.39143526328381417,2,18
39,0.401237957448595,2,19
40,0.3178051206045907,1,0
41,0.3424240468974123,1,1
42,0.31020950701392225,1,2
43,0.34549242576818495,1,3
44,0.34438782283702407,1,4
45,0.31117446112292085,1,5
46,0.3571396617727764,1,6
47,0.32723168003278436,1,7
48,0.37505985015801,1,8
49,0.3744191844120847,1,9
50,0.39564356829929526,1,10
51,0.36591532110241765,1,11
52,0.37719455100867383,1,12
53,0.3579605433774994,1,13
54,0.3528037004778016,1,14
55,0.3869436395200603,1,15
56,0.39876694339371316,1,16
57,0.3832823171384766,1,17
58,0.40998363454024156,1,18
59,0.3802773271323662,1,19
60,0.3193746755282068,2,0
61,0.26868963191429224,2,1
62,0.3346747299823336,2,2
63,0.3293521796005698,2,3
64,0.3393836320973407,2,4
65,0.3623912202033963,2,5
66,0.36973229383495543,2,6
67,0.3826017793196518,2,7
68,0.38673154207707344,2,8
69,0.3552613141102703,2,9
70,0.35537414937978573,2,10
71,0.4117757632954546,2,11
72,0.3930393337106523,2,12
73,0.34024305440211056,2,13
74,0.42077728954572685,2,14
75,0.3923768698721704,2,15
76,0.4091489271978644,2,16
77,0.39860244718278176,2,17
78,0.42568066723070674,2,18
79,0.42148060334329646,2,19
80,0.26959263195328426,1,0
81,0.3762061111400416,1,1
82,0.3944685818653996,1,2
83,0.3867025128631385,1,3
84,0.4133990886170131,1,4
85,0.3265543533680676,1,5
86,0.35583594640448507,1,6
87,0.37121753967764415,1,7
88,0.3896778783471565,1,8
89,0.4150689475215833,1,9
90,0.35143704157834743,1,10
91,0.3937227821421937,1,11
92,0.3371833136191351,1,12
93,0.42727094775938845,1,13
94,0.41009322525509406,1,14
95,0.40813136385865945,1,15
96,0.4210973957283991,1,16
97,0.40144507228224774,1,17
98,0.38907837260149225,1,18
99,0.4083672753344806,1,19
100,0.360404770403987,2,0
101,0.36854227631713365,2,1
102,0.3840831242495908,2,2
103,0.3243814734958985,2,3
104,0.33157781766127953,2,4
105,0.3124265845445215,2,5
106,0.36735108245382675,2,6
107,0.4043240345101495,2,7
108,0.3597459839913052,2,8
109,0.38222364426007766,2,9
110,0.37282029417416007,2,10
111,0.37086491505023234,2,11
112,0.4289909008821303,2,12
113,0.4204259512627476,2,13
114,0.3474193506952622,2,14
115,0.36888641800943767,2,15
116,0.3614656303922449,2,16
117,0.40761716684038624,2,17
118,0.39593981064171263,2,18
119,0.4274647292154935,2,19
120,-0.6679896677358284,1,0
121,0.37936907062704,1,1
122,0.3164681272167165,1,2
123,0.30391988368234113,1,3
124,0.3506425346286829,1,4
125,0.3602600324379629,1,5
126,0.32444554420912275,1,6
127,0.29584616211804027,1,7
128,0.38760289444628854,1,8
129,0.3567159398635971,1,9
130,0.37308302348010863,1,10
131,0.3942714734764506,1,11
132,0.3897760608063193,1,12
133,0.41679106682388445,1,13
134,0.4211001453769613,1,14
135,0.3036517640545333,1,15
136,0.39137640968059134,1,16
137,0.38672452931023976,1,17
138,0.403038432162287,1,18
139,0.41178963439706917,1,19
140,0.3887985918792336,2,0
141,0.40174599207233885,2,1
142,0.30349843455059977,2,2
143,0.39585468875597785,2,3
144,0.29165318876495505,2,4
145,0.3321487623083723,2,5
146,0.37499866102764595,2,6
147,0.40025342702682,2,7
148,0.3740878964287358,2,8
149,0.37642425089302883,2,9
150,0.36039781524069614,2,10
151,0.37858985170418,2,11
152,0.36555912971341964,2,12
153,0.3788394644544999,2,13
154,0.37276822059107634,2,14
155,0.3918303719463716,2,15
156,0.4061157775737256,2,16
157,0.41272287875327707,2,17
158,0.37738682412757385,2,18
159,0.3719825993564564,2,19
160,0.356228147763789,1,0
161,0.3501189615933017,1,1
162,0.33349496179475063,1,2
163,0.3469090001852285,1,3
164,0.30073095951011514,1,4
165,0.35184625187238133,1,5
166,0.38607308969759146,1,6
167,0.37585684745409226,1,7
