,agent1,Glc,P,Amylase,Starch
918,1.953693245128057,0.4260177334373585,9.680457957259247,2.559861590372632e-16,10.0
919,1.9536737081956057,0.42601347326002514,9.680361152679675,2.559835991756728e-16,10.0
920,1.9536541714585238,0.4260092131252936,9.680264349068148,2.5598103933968105e-16,10.0
921,1.9536346349168092,0.4260049530331634,9.680167546424657,2.5597847952928763e-16,10.0
922,1.9536150985704601,0.4260006929836341,9.680070744749193,2.5597591974449236e-16,10.0
923,1.9535955624194745,0.4259964329767053,9.679973944041745,2.5597335998529493e-16,10.0
924,1.9535760264638504,0.4259921730123766,9.679877144302305,2.559708002516951e-16,10.0
925,1.9535564907035858,0.4259879130906475,9.679780345530862,2.5596824054369257e-16,10.0
926,1.9535369551386788,0.4259836532115176,9.679683547727407,2.5596568086128715e-16,10.0
927,1.9535174197691274,0.4259793933749865,9.67958675089193,2.5596312120447854e-16,10.0
928,1.9534978845949298,0.4259751335810538,9.67948995502442,2.559605615732665e-16,10.0
929,1.953478349616084,0.42597087382971904,9.67939316012487,2.5595800196765076e-16,10.0
930,1.9534588148325878,0.4259666141209818,9.67929636619327,2.559554423876311e-16,10.0
931,1.9534392802444394,0.42596235445484165,9.679199573229608,2.5595288283320723e-16,10.0
932,1.953419745851637,0.42595809483129815,9.679102781233876,2.5595032330437887e-16,10.0
933,1.9534002116541784,0.4259538352503509,9.679005990206063,2.5594776380114585e-16,10.0
934,1.953380677652062,0.42594957571199943,9.67890920014616,2.559452043235078e-16,10.0
935,1.9533611438452854,0.4259453162162434,9.678812411054158,2.5594264487146457e-16,10.0
936,1.953341610233847,0.42594105676308225,9.678715622930048,2.5594008544501587e-16,10.0
937,1.9533220768177446,0.42593679735251566,9.678618835773818,2.559375260441614e-16,10.0
938,1.9533025435969764,0.42593253798454317,9.67852204958546,2.5593496666890096e-16,10.0
939,1.9532830105715404,0.4259282786591644,9.678425264364964,2.5593240731923426e-16,10.0
940,1.9532634777414346,0.42592401937637886,9.67832848011232,2.5592984799516107e-16,10.0
941,1.9532439451066572,0.42591976013618615,9.678231696827519,2.5592728869668113e-16,10.0
942,1.9532244126672063,0.4259155009385858,9.67813491451055,2.5592472942379416e-16,10.0
943,1.9532048804230795,0.4259112417835775,9.678038133161406,2.559221701764999e-16,10.0
944,1.9531853483742752,0.42590698267116067,9.677941352780074,2.5591961095479814e-16,10.0
945,1.9531658165207915,0.425902723601335,9.677844573366546,2.559170517586886e-16,10.0
946,1.9531462848626262,0.4258984645741001,9.677747794920812,2.55914492588171e-16,10.0
947,1.9531267533997776,0.4258942055894554,9.677651017442862,2.559119334432451e-16,10.0
948,1.9531072221322436,0.42588994664740054,9.677554240932688,2.5590937432391067e-16,10.0
949,1.9530876910600223,0.4258856877479351,9.677457465390278,2.559068152301674e-16,10.0
950,1.9530681601831117,0.4258814288910587,9.677360690815624,2.559042561620151e-16,10.0
951,1.95304862950151,0.42587717007677084,9.677263917208716,2.5590169711945347e-16,10.0
952,1.9530290990152148,0.4258729113050711,9.677167144569545,2.558991381024823e-16,10.0
953,1.9530095687242246,0.4258686525759591,9.677070372898099,2.558965791111013e-16,10.0
954,1.9529900386285373,0.42586439388943437,9.67697360219437,2.5589402014531017e-16,10.0
955,1.952970508728151,0.42586013524549654,9.676876832458348,2.558914612051087e-16,10.0
956,1.9529509790230637,0.42585587664414515,9.676780063690023,2.558889022904967e-16,10.0
957,1.9529314495132735,0.42585161808537975,9.676683295889386,2.558863434014738e-16,10.0
958,1.9529119201987784,0.42584735956919995,9.676586529056427,2.558837845380398e-16,10.0
959,1.9528923910795764,0.4258431010956053,9.676489763191137,2.558812257001944e-16,10.0
960,1.9528728621556655,0.4258388426645954,9.676392998293505,2.5587866688793744e-16,10.0
961,1.952853333427044,0.42583458427616977,9.676296234363521,2.5587610810126854e-16,10.0
962,1.9528338048937097,0.42583032593032805,9.676199471401178,2.5587354934018753e-16,10.0
963,1.9528142765556609,0.4258260676270698,9.676102709406464,2.558709906046941e-16,10.0
964,1.9527947484128954,0.4258218093663946,9.67600594837937,2.5586843189478807e-16,10.0
965,1.9527752204654112,0.42581755114830194,9.675909188319887,2.5586587321046914e-16,10.0
966,1.9527556927132066,0.4258132929727915,9.675812429228003,2.55863314551737e-16,10.0
967,1.9527361651562796,0.4258090348398628,9.675715671103712,2.558607559185915e-16,10.0
968,1.952716637794628,0.42580477674951545,9.675618913947,2.558581973110323e-16,10.0
969,1.95269711062825,0.425800518701749,9.675522157757861,2.558556387290592e-16,10.0
970,1.9526775836571437,0.425796260696563,9.675425402536284,2.5585308017267193e-16,10.0
971,1.9526580568813072,0.42579200273395706,9.675328648282258,2.558505216418702e-16,10.0
972,1.9526385303007383,0.4257877448139308,9.675231894995775,2.558479631366538e-16,10.0
973,1.9526190039154352,0.4257834869364837,9.675135142676826,2.5584540465702245e-16,10.0
974,1.952599477725396,0.4257792291016154,9.6750383913254,2.5584284620297587e-16,10.0
975,1.9525799517306188,0.42577497130932546,9.674941640941487,2.558402877745138e-16,10.0
976,1.9525604259311016,0.42577071355961343,9.674844891525078,2.5583772937163605e-16,10.0
977,1.9525409003268424,0.4257664558524789,9.674748143076163,2.558351709943423e-16,10.0
978,1.9525213749178392,0.42576219818792144,9.674651395594733,2.558326126426324e-16,10.0
979,1.95250184970409,0.42575794056594063,9.674554649080777,2.5583005431650596e-16,10.0
980,1.952482324685593,0.42575368298653604,9.674457903534286,2.558274960159628e-16,10.0
981,1.952462799862346,0.42574942544970723,9.67436115895525,2.558249377410026e-16,10.0
982,1.9524432752343475,0.42574516795545375,9.67426441534366,2.558223794916252e-16,10.0
983,1.9524237508015951,0.4257409105037752,9.674167672699507,2.558198212678303e-16,10.0
984,1.952404226564087,0.42573665309467124,9.674070931022781,2.558172630696176e-16,10.0
985,1.9523847025218215,0.4257323957281413,9.673974190313471,2.558147048969869e-16,10.0
986,1.9523651786747962,0.42572813840418505,9.673877450571569,2.558121467499379e-16,10.0
987,1.9523456550230094,0.4257238811228021,9.673780711797063,2.558095886284704e-16,10.0
988,1.952326131566459,0.42571962388399187,9.673683973989945,2.558070305325841e-16,10.0
989,1.9523066083051435,0.42571536668775406,9.673587237150205,2.5580447246227876e-16,10.0
990,1.9522870852390604,0.42571110953408825,9.673490501277833,2.5580191441755415e-16,10.0
