,Agent_0,Agent_0_abs_W_max,Agent_1,Agent_1_abs_W_max
0,-5598.8682766429665,1.2031405156393329,-5688.849158523103,1.0945314199933656
1,-5947.2995809168815,8.56957833399452,-6057.299669797862,8.499423450328257
2,-4954.024965323186,13.333104808548898,-4793.958928931252,14.2824258794572
3,-5336.413390026836,19.40856795263701,-5316.3703717440585,22.210333404917083
4,-5567.503058709188,22.823401880552858,-6017.627956400753,26.331970463887828
5,-5679.761585389623,24.55582921996814,-6129.941171015293,26.331970463887828
6,-5626.709922645236,31.27920903587003,-5656.720432443759,32.895245872505775
7,-5825.675357733896,34.39278057051018,-6186.144908606735,36.80094472871792
8,-101.19317315079968,36.757102614915595,-30.881736446495317,36.80094472871792
9,-3492.3457137212936,36.757102614915595,-3480.5434890736815,36.80094472871792
10,-2916.8225357991614,36.757102614915595,-2843.797725559329,37.965485404075665
11,-3665.916975050558,36.757102614915595,-3648.768460199073,37.965485404075665
12,-2846.8483754634112,36.76149768568829,-2881.216714449777,37.3095888482091
13,-2517.7706147155127,39.14033389282323,-2500.36784080061,38.30448370352544
14,-2417.4959665007227,39.61815866034658,-2307.2606483052637,38.83524090101499
15,-2884.3510816957123,40.365751831257896,-2928.957786587763,38.6073081343314
16,-3742.1768932797245,40.365751831257896,-3715.3292757309227,38.6073081343314
17,-2564.6173329363173,42.85750946786091,-2573.8457235505925,40.202689430539394
18,-3625.831165766622,42.85750946786091,-3612.201877317957,40.202689430539394
19,-3715.8938357041416,42.85750946786091,-3723.8536219404796,40.202689430539394
20,-3714.8151282033423,42.85750946786091,-3682.320078698391,40.202689430539394
21,-3613.609570497936,42.85750946786091,-3627.8107152994817,40.202689430539394
22,-3793.994637386281,42.85750946786091,-3768.9649344159834,40.202689430539394
23,-3788.893954991856,42.85750946786091,-3775.606826278985,40.202689430539394
24,-3671.6511208203433,42.71063254251503,-3662.9382495332147,40.18508980961072
25,-3736.7925608935507,42.71063254251503,-3707.4160121829204,40.18508980961072
26,-3623.151106790074,42.71063254251503,-3515.0619712282896,40.18508980961072
27,-3424.764726735346,43.07267856326764,-3344.8497284222844,40.530705279607794
28,-3019.469102231231,44.81047196325034,-2968.1303324574415,44.45714582069149
29,-2797.936894604068,46.67754481603831,-2699.94370301152,46.2345363272904
30,-3472.4368962507515,47.39601028333852,-3468.315100378849,46.87336748729155
31,-3786.489612914488,47.005668887617006,-3784.5094148946864,46.7357221378055
32,-3760.188228529205,47.005668887617006,-3739.9902087272244,46.7357221378055
33,-3781.159158474275,47.005668887617006,-3748.7433852902864,46.7357221378055
34,-3061.8153245316166,48.183205820800474,-3037.464815092067,49.557938183740745
35,-3891.1914476762604,48.183205820800474,-3875.3102595574483,49.557938183740745
36,-3551.5269748896235,48.183205820800474,-3556.1476698570477,49.557938183740745
37,-3537.3852972062614,48.183205820800474,-3281.387287348769,49.557938183740745
38,-3035.770562640042,48.183205820800474,-1033.9536879531204,49.557938183740745
39,-3618.6415553599472,48.183205820800474,-3597.988090013412,49.557938183740745
40,-3802.5559148584307,48.183205820800474,-3638.3139537840266,49.557938183740745
41,-3653.7960836054804,48.183205820800474,-3660.1723212292436,49.22508043054463
42,-3223.3120074559274,49.453026094160876,-3003.4966948378915,50.59000596026608
43,-2864.016759091496,50.27741577633072,-2652.6239557675026,51.9468915943576
44,-2985.060812155644,52.688358858188245,-2866.61984654155,52.354802219936595
45,-3724.1772705612257,52.688358858188245,-3699.107963630533,52.354802219936595
46,-3789.961001418294,52.688358858188245,-3780.0402093390853,52.354802219936595
47,-3732.7355623399208,52.688358858188245,-3738.3593247161575,52.354802219936595
48,-3740.305159306431,52.688358858188245,-3729.21605039554,52.354802219936595
