,agent1,agent2
0,-5611.567,-5666.9614
1,-5630.2266,-5716.756
2,-5658.556,-5689.744
3,-5625.4165,-5599.8247
4,-5644.114,-5695.2085
5,-5648.0264,-5672.711
6,-5706.925,-5690.533
7,-5631.6475,-5642.6064
