,agent1
406,1.2329566
407,1.2393954
408,1.2407962
409,1.2409503
410,1.2468717
411,1.2260652
412,1.2135799
413,1.2282251
414,1.2187607
415,1.2355313
416,1.2272702
417,1.2305748
418,1.2304751
419,1.2398835
420,1.2174935
421,1.2382976
422,1.2248276
423,1.2422385
424,1.2294693
425,1.2566777
426,1.2283752
427,1.2292743
428,1.2396637
429,1.2411069
430,1.2316579
431,1.235871
432,1.2252289
433,1.2174886
434,1.2212571
435,1.2277054
436,1.2190713
437,1.2263647
438,1.2207783
439,1.2258011
440,1.2489129
441,1.2431589
442,1.2360845
443,1.2291828
444,1.2375622
445,1.2387599
446,1.2205547
447,1.2382327
448,1.2348528
449,1.2476504
450,1.2368542
451,1.2193807
452,1.2312384
453,1.2336092
454,1.2164377
455,1.2163104
456,1.237416
457,1.2339492
458,1.215992
459,1.2466172
460,1.2324088
461,1.237284
462,1.2367932
463,1.234418
464,1.2369417
465,1.2310592
466,1.2212893
467,1.2391902
468,1.2292826
469,1.2231593
470,1.2289711
471,1.2169532
472,1.2187494
473,1.2410802
474,1.228036
475,1.2353266
476,1.2271093
477,1.2266546
478,1.2381896
479,1.2537615
480,1.2315189
481,1.2540244
482,1.2382369
483,1.244924
484,1.2141087
485,1.2332603
486,1.2400532
487,1.2358483
488,1.2307596
489,1.2415533
490,1.2211676
491,1.2347628
492,1.2352188
493,1.230919
494,1.2233561
495,1.2314231
496,1.230013
497,1.2540823
498,1.2493508
499,1.237541
500,1.2308364
501,1.2296706
502,1.2479589
503,1.2293983
504,1.225839
505,1.2284409
506,1.2365192
507,1.2212116
508,1.2447906
509,1.2181679
510,1.2314647
511,1.231847
512,1.2129539
513,1.2232786
514,1.2442828
515,1.2475948
516,1.2337396
517,1.2468649
518,1.2285225
519,1.2281705
520,1.2384806
521,1.2501644
522,1.2247579
523,1.2556522
524,1.2332596
525,1.2191385
526,1.2326458
527,1.2248971
528,1.2444396
529,1.2206984
530,1.2358704
531,1.2399902
532,1.2328736
533,1.2393112
534,1.2459776
535,1.2307268
536,1.2459117
